Employee_ID,Name,Department,Age,Salary,Joining_Date
48.0,Employee_48,Finance,32.0,75000.0,2020-02-17
49.0,Employee_49,Sales,33.0,80000.0,2020-02-18
50.0,Employee_50,Marketing,34.0,85000.0,2020-02-19
51.0,Employee_51,IT,25.0,40000.0,2020-02-20
52.0,Employee_52,HR,26.0,45000.0,2020-02-21
53.0,Employee_53,Finance,27.0,50000.0,2020-02-22
54.0,Employee_54,Sales,28.0,55000.0,2020-02-23
55.0,Employee_55,Marketing,29.0,60000.0,2020-02-24
56.0,Employee_56,IT,30.0,65000.0,2020-02-25
57.0,Employee_57,HR,31.0,70000.0,2020-02-26
58.0,Employee_58,Finance,32.0,75000.0,2020-02-27
59.0,Employee_59,Sales,33.0,80000.0,2020-02-28
60.0,Employee_60,Marketing,34.0,85000.0,2020-02-29
61.0,Employee_61,IT,25.0,40000.0,2020-03-01
62.0,Employee_62,HR,26.0,45000.0,2020-03-02
63.0,Employee_63,Finance,27.0,50000.0,2020-03-03
64.0,Employee_64,Sales,28.0,55000.0,2020-03-04
65.0,Employee_65,Marketing,29.0,60000.0,2020-03-05
66.0,Employee_66,IT,30.0,65000.0,2020-03-06
67.0,Employee_67,HR,31.0,70000.0,2020-03-07
68.0,Employee_68,Finance,32.0,75000.0,2020-03-08
69.0,Employee_69,Sales,33.0,80000.0,2020-03-09
70.0,Employee_70,Marketing,34.0,85000.0,2020-03-10
71.0,Employee_71,IT,25.0,40000.0,2020-03-11
72.0,Employee_72,HR,26.0,45000.0,2020-03-12
73.0,Employee_73,Finance,27.0,50000.0,2020-03-13
74.0,Employee_74,Sales,28.0,55000.0,2020-03-14
75.0,Employee_75,Marketing,29.0,60000.0,2020-03-15
76.0,Employee_76,IT,30.0,65000.0,2020-03-16
77.0,Employee_77,HR,31.0,70000.0,2020-03-17
78.0,Employee_78,Finance,32.0,75000.0,2020-03-18
79.0,Employee_79,Sales,33.0,80000.0,2020-03-19
80.0,Employee_80,Marketing,34.0,85000.0,2020-03-20
81.0,Employee_81,IT,25.0,40000.0,2020-03-21
82.0,Employee_82,HR,26.0,45000.0,2020-03-22
83.0,Employee_83,Finance,27.0,50000.0,2020-03-23
84.0,Employee_84,Sales,28.0,55000.0,2020-03-24
85.0,Employee_85,Marketing,29.0,60000.0,2020-03-25
86.0,Employee_86,IT,30.0,65000.0,2020-03-26
87.0,Employee_87,HR,31.0,70000.0,2020-03-27
88.0,Employee_88,Finance,32.0,75000.0,2020-03-28
89.0,Employee_89,Sales,33.0,80000.0,2020-03-29
90.0,Employee_90,Marketing,34.0,85000.0,2020-03-30
91.0,Employee_91,IT,25.0,40000.0,2020-03-31
92.0,Employee_92,HR,26.0,45000.0,2020-04-01
93.0,Employee_93,Finance,27.0,50000.0,2020-04-02
94.0,Employee_94,Sales,28.0,55000.0,2020-04-03
95.0,Employee_95,Marketing,29.0,60000.0,2020-04-04
96.0,Employee_96,IT,30.0,65000.0,2020-04-05
97.0,Employee_97,HR,31.0,70000.0,2020-04-06
98.0,Employee_98,Finance,32.0,75000.0,2020-04-07
99.0,Employee_99,Sales,33.0,80000.0,2020-04-08
100.0,Employee_100,Marketing,34.0,85000.0,2020-04-09
